YYYY-MM-DD,hh:mm:ss,air_temp,wind_direction,wind_speed,pressure
2014-02-16,20:02:17,-7.665,47.0,3.625,982.07
2014-02-16,20:02:22,-7.6391,55.0,3.7478,982.1
2014-02-16,20:02:27,-7.5978,56.0,3.6454,982.1
2014-02-16,20:02:32,-7.5567,25.0,3.2973,982.12
2014-02-16,20:02:37,-7.536,30.0,3.3382,982.13
2014-02-16,20:02:42,-7.5359,35.0,3.2154,982.13
2014-02-16,20:02:47,-7.5156,34.0,3.4816,982.14
2014-02-16,20:02:52,-7.5619,41.0,3.1539,982.15
2014-02-16,20:02:57,-7.6186,45.0,3.0515,982.15
2014-02-16,20:03:02,-7.6238,47.0,2.7648,982.13
2014-02-16,20:03:07,-7.629,34.0,2.5805,982.14
2014-02-16,20:03:12,-7.6495,47.0,2.7034,982.15
2014-02-16,20:03:17,-7.6288,57.0,2.3552,982.13
2014-02-16,20:03:22,-7.6236,55.0,2.8467,982.13
2014-02-16,20:03:27,-7.5876,60.0,3.1744,982.14
2014-02-16,20:03:32,-7.5619,45.0,3.6454,982.14
2014-02-16,20:03:37,-7.531,58.0,3.2154,982.12
2014-02-16,20:03:42,-7.5,59.0,3.1744,982.11
2014-02-16,20:03:47,-7.4691,43.0,2.9082,982.11
2014-02-16,20:03:52,-7.4432,32.0,3.8912,982.14
2014-02-16,20:03:57,-7.4587,36.0,3.6454,982.17
2014-02-16,20:04:02,-7.5103,43.0,3.5226,982.16
2014-02-16,20:04:07,-7.5465,38.0,3.1744,982.16
2014-02-16,20:04:12,-7.5672,46.0,2.8467,982.14
2014-02-16,20:04:17,-7.5671,34.0,2.9082,982.17
2014-02-16,20:04:22,-7.562,36.0,3.1334,982.17
2014-02-16,20:04:27,-7.5569,54.0,2.519,982.18
2014-02-16,20:04:32,-7.5671,49.0,2.9491,982.18
2014-02-16,20:04:37,-7.5516,37.0,3.2563,982.17
2014-02-16,20:04:42,-7.5569,44.0,2.8058,982.17
2014-02-16,20:04:47,-7.5569,44.0,2.7238,982.17
2014-02-16,20:04:52,-7.5671,47.0,2.7853,982.17
2014-02-16,20:04:57,-7.5724,44.0,2.9491,982.17
2014-02-16,20:05:02,-7.5774,45.0,3.2154,982.15
2014-02-16,20:05:07,-7.5569,35.0,3.4816,982.15
2014-02-16,20:05:12,-7.5467,40.0,3.4202,982.15
2014-02-16,20:05:17,-7.5518,36.0,3.3997,982.13
2014-02-16,20:05:22,-7.5672,38.0,3.625,982.17
2014-02-16,20:05:27,-7.5929,33.0,3.8502,982.16
2014-02-16,20:05:32,-7.6031,27.0,3.1949,982.12
2014-02-16,20:05:37,-7.5879,37.0,3.6659,982.13
2014-02-16,20:05:42,-7.5619,32.0,4.0755,982.14
2014-02-16,20:05:47,-7.5467,30.0,3.8093,982.15
2014-02-16,20:05:52,-7.5724,37.0,3.7478,982.16
2014-02-16,20:05:57,-7.6083,34.0,3.9731,982.16
2014-02-16,20:06:02,-7.6186,44.0,4.0141,982.1
2014-02-16,20:06:07,-7.6341,37.0,4.1779,982.11
2014-02-16,20:06:12,-7.6702,60.0,4.567,982.13
2014-02-16,20:06:17,-7.6186,40.0,4.1779,982.12
2014-02-16,20:06:22,-7.5826,63.0,3.3382,982.13
2014-02-16,20:06:27,-7.5258,52.0,3.0925,982.12
2014-02-16,20:06:32,-7.4794,37.0,2.9286,982.14
2014-02-16,20:06:37,-7.4484,55.0,3.3997,982.14
2014-02-16,20:06:42,-7.3969,49.0,3.7888,982.15
2014-02-16,20:06:47,-7.4072,56.0,3.5226,982.14
2014-02-16,20:06:52,-7.4279,61.0,3.6045,982.13
2014-02-16,20:06:57,-7.4537,66.0,3.8707,982.13
2014-02-16,20:07:02,-7.4691,34.0,3.8707,982.08
2014-02-16,20:07:07,-7.4691,23.0,4.4646,982.12
2014-02-16,20:07:12,-7.4691,35.0,3.8912,982.15
2014-02-16,20:07:17,-7.5001,41.0,3.4202,982.15
2014-02-16,20:07:22,-7.5001,55.0,3.1744,982.14
2014-02-16,20:07:27,-7.5103,51.0,3.1744,982.16
2014-02-16,20:07:32,-7.4898,56.0,2.56,982.15
2014-02-16,20:07:37,-7.4692,54.0,1.9661,982.16
2014-02-16,20:07:42,-7.4486,78.0,1.9251,982.16
2014-02-16,20:07:47,-7.4382,71.0,1.7613,982.16
2014-02-16,20:07:52,-7.4021,74.0,1.577,982.15
2014-02-16,20:07:57,-7.3661,58.0,1.4746,982.16
2014-02-16,20:08:02,-7.3197,76.0,1.9046,982.16
2014-02-16,20:08:07,-7.2834,48.0,2.2528,982.16
2014-02-16,20:08:12,-7.237,10.0,1.577,982.16
2014-02-16,20:08:17,-7.2112,51.0,1.4746,982.18
2014-02-16,20:08:22,-7.1494,40.0,1.3926,982.19
2014-02-16,20:08:27,-7.1543,57.0,2.9696,982.18
2014-02-16,20:08:32,-7.139,29.0,3.7888,982.18
2014-02-16,20:08:37,-7.1493,32.0,4.0755,982.17
2014-02-16,20:08:42,-7.1494,35.0,3.7888,982.19
2014-02-16,20:08:47,-7.2164,51.0,3.543,982.17
2014-02-16,20:08:52,-7.2783,60.0,3.625,982.15
2014-02-16,20:08:57,-7.299,43.0,3.2768,982.13
2014-02-16,20:09:02,-7.299,57.0,3.2768,982.14
2014-02-16,20:09:07,-7.3247,58.0,3.072,982.16
2014-02-16,20:09:12,-7.2886,64.0,2.4371,982.16
2014-02-16,20:09:17,-7.299,50.0,2.2733,982.17
2014-02-16,20:09:22,-7.3197,58.0,1.9046,982.16
2014-02-16,20:09:27,-7.3198,61.0,1.7613,982.18
2014-02-16,20:09:32,-7.33,55.0,2.5805,982.2
2014-02-16,20:09:37,-7.3248,41.0,2.9286,982.19
2014-02-16,20:09:42,-7.3248,31.0,3.2358,982.2
2014-02-16,20:09:47,-7.3299,45.0,2.8672,982.2
2014-02-16,20:09:52,-7.3352,53.0,3.1949,982.19
2014-02-16,20:09:57,-7.3093,78.0,2.4371,982.19
2014-02-16,20:10:02,-7.2836,54.0,2.0275,982.21
2014-02-16,20:10:07,-7.2526,47.0,2.007,982.22
2014-02-16,20:10:12,-7.2472,43.0,1.9251,982.21
2014-02-16,20:10:17,-7.2319,47.0,2.2733,982.17
2014-02-16,20:10:22,-7.2475,68.0,2.2733,982.21
2014-02-16,20:10:27,-7.2422,39.0,2.519,982.21
2014-02-16,20:10:32,-7.2422,85.0,2.3347,982.21
2014-02-16,20:10:37,-7.2524,77.0,3.3997,982.21
